Vessels Name,IMO,MMSI,Class,Subclass,Length,Gross Tonnage,Age,Sailing,In Port,Waiting,Signal Lost,Dark Activity,Portcalls,Average dur. Portcalls,NM Sailed (k),Risk,Human expertise,NoAnomaly
KUBROSLI_Y,8000836,620797000,Cargo,Bulk Carrier,138.00,7788.00,42.00,67.00,75.00,131.00,92.00,38.00,19.00,95.00,14.00,High,1,0
HAJE ZAINAB,8025381,671573000,Cargo,Bulk Carrier,136.00,6498.00,42.00,66.00,138.00,158.00,3.00,0.00,24.00,138.00,14.00,Moderate,1,0
MOHAMAD Y,8107000,341156000,Cargo,Bulk Carrier,138.00,7788.00,42.00,71.00,94.00,169.00,31.00,9.00,22.00,102.00,15.00,Moderate,1,0
GOLDEN BIRD,8517580,357207000,Cargo,Bulk Carrier,122.00,7170.00,37.00,77.00,163.00,107.00,18.00,10.00,24.00,161.00,17.00,Low,0,0
AMADORE,8520824,249784000,Cargo,Bulk Carrier,143.00,8253.00,36.00,34.00,93.00,22.00,216.00,0.00,8.00,279.00,6.00,Low,0,0
DAYTONA H,8520836,620086000,Cargo,Bulk Carrier,143.00,8254.00,35.00,76.00,76.00,135.00,78.00,72.00,15.00,122.00,14.00,Moderate,1,0
PRINCE EZZ,8613126,620910000,Cargo,Bulk Carrier,122.00,7166.00,35.00,100.00,126.00,106.00,33.00,7.00,19.00,160.00,15.00,Low,0,0
MKK 1,8902929,511100551,Cargo,Bulk Carrier,144.00,9815.00,31.00,113.00,104.00,115.00,33.00,31.00,16.00,155.00,22.00,Low,0,0
BR GLORY,8907577,518558000,Cargo,Bulk Carrier,158.00,13695.00,33.00,115.00,65.00,73.00,112.00,95.00,12.00,101.00,23.00,Low,0,0
OMEGA_STAR,8917742,667001713,Cargo,Bulk Carrier,104.00,3828.00,32.00,223.00,69.00,69.00,4.00,0.00,28.00,59.00,59.00,Low,0,0
BRAVE LEADER,9033505,450559000,Cargo,Bulk Carrier,158.00,13706.00,31.00,103.00,154.00,99.00,9.00,0.00,23.00,161.00,24.00,Low,0,0
PRINCESS MANISSA,9084217,341260000,Cargo,Bulk Carrier,158.00,13725.00,29.00,79.00,114.00,114.00,58.00,54.00,14.00,196.00,21.00,High,1,0
ROYAL O,9084229,511100729,Cargo,Bulk Carrier,158.00,13865.00,29.00,126.00,121.00,71.00,47.00,39.00,22.00,132.00,31.00,High,1,0
ALKADI BEY,9085675,667001738,Cargo,Bulk Carrier,158.00,13865.00,28.00,122.00,81.00,86.00,76.00,71.00,19.00,102.00,30.00,High,1,0
REK KING,9085895,374377000,Cargo,Bulk Carrier,143.00,10490.00,26.00,120.00,164.00,80.00,1.00,0.00,27.00,146.00,27.00,Low,0,0
AYYILDIZ,9085900,373574000,Cargo,Bulk Carrier,143.00,10490.00,27.00,111.00,145.00,56.00,53.00,5.00,38.00,91.00,30.00,Low,0,0
BOMUSTAFA O,9114476,352001900,Cargo,Bulk Carrier,157.00,14599.00,28.00,125.00,74.00,166.00,0.00,0.00,10.00,145.00,33.00,Moderate,1,0
LITA,9117416,636016303,Cargo,Bulk Carrier,148.00,11121.00,28.00,148.00,156.00,58.00,3.00,0.00,20.00,163.00,38.00,Moderate,1,0
NEW ENAS,9118238,620718000,Cargo,Bulk Carrier,143.00,10421.00,27.00,57.00,116.00,106.00,86.00,75.00,21.00,132.00,12.00,Low,0,0
FORTUNA,9118252,314520000,Cargo,Bulk Carrier,143.00,10490.00,26.00,97.00,110.00,129.00,29.00,12.00,23.00,115.00,23.00,High,1,0
BEST HARMONY,9119086,373702000,Cargo,Bulk Carrier,154.00,14704.00,28.00,116.00,103.00,113.00,33.00,14.00,20.00,124.00,23.00,Low,0,0
BEREKET,9123702,374681000,Cargo,Bulk Carrier,154.00,14762.00,26.00,183.00,121.00,50.00,11.00,0.00,29.00,100.00,48.00,Moderate,1,0
KLC ERCIYES,9132480,314687000,Cargo,Bulk Carrier,142.00,10220.00,26.00,45.00,130.00,179.00,11.00,0.00,19.00,164.00,11.00,High,1,0
QUEEN SARA,9132507,667001896,Cargo,Bulk Carrier,142.00,10220.00,25.00,98.00,148.00,112.00,7.00,6.00,51.00,68.00,24.00,Low,0,0
PLUTUS,9132519,511100630,Cargo,Bulk Carrier,142.00,10220.00,25.00,118.00,104.00,120.00,23.00,16.00,13.00,191.00,27.00,High,1,0
MOAYAD Y,9135482,620999048,Cargo,Bulk Carrier,154.00,14754.00,27.00,89.00,53.00,198.00,25.00,25.00,13.00,86.00,14.00,High,1,0
BRAVE COMMANDER,9136931,450555000,Cargo,Bulk Carrier,151.00,14431.00,27.00,92.00,180.00,85.00,8.00,7.00,22.00,186.00,25.00,Low,0,0
PRINCE MOUHAMMAD,9138692,620428000,Cargo,Bulk Carrier,160.00,15888.00,25.00,59.00,75.00,79.00,152.00,139.00,16.00,112.00,17.00,High,1,0
MOHAMAD M,9141235,518998563,Cargo,Bulk Carrier,154.00,14747.00,26.00,179.00,98.00,87.00,1.00,0.00,28.00,84.00,50.00,High,1,0
NECO K,9146053,355969000,Cargo,Bulk Carrier,113.00,6001.00,27.00,46.00,114.00,204.00,1.00,0.00,20.00,136.00,10.00,Low,0,0
COMET,9146106,636016356,Cargo,Bulk Carrier,113.00,5997.00,26.00,54.00,211.00,14.00,86.00,0.00,22.00,230.00,15.00,Low,0,0
LADY PERLA,9149732,636021219,Cargo,Bulk Carrier,158.00,15355.00,26.00,65.00,87.00,210.00,3.00,0.00,19.00,105.00,18.00,Moderate,1,0
AMINEH M,9150743,518100289,Cargo,Bulk Carrier,149.00,13781.00,24.00,104.00,154.00,60.00,47.00,46.00,25.00,148.00,27.00,High,1,0
GOLDEN SHARK,9151383,511100789,Cargo,Bulk Carrier,148.00,11194.00,26.00,82.00,110.00,139.00,34.00,1.00,19.00,140.00,20.00,High,1,0
GANOSAYA,9151400,518100770,Cargo,Bulk Carrier,148.00,11246.00,26.00,63.00,134.00,144.00,24.00,23.00,20.00,161.00,15.00,Low,0,0
SALLY M,9152844,370998000,Cargo,Bulk Carrier,101.00,4569.00,26.00,89.00,92.00,167.00,17.00,8.00,21.00,106.00,14.00,Moderate,1,0
AQUIS PERLA,9161869,352187000,Cargo,Bulk Carrier,113.00,6079.00,26.00,92.00,159.00,112.00,2.00,0.00,50.00,76.00,22.00,Low,0,0
PUFFIN S,9164811,636019618,Cargo,Bulk Carrier,158.00,14118.00,24.00,120.00,135.00,108.00,2.00,0.00,30.00,108.00,29.00,Low,0,0
GOLDEN SEA,9173355,374156000,Cargo,Bulk Carrier,136.00,9973.00,26.00,166.00,127.00,70.00,2.00,3.00,23.00,133.00,39.00,Low,0,0
ANGELOS,9175913,518100232,Cargo,Bulk Carrier,151.00,14446.00,25.00,117.00,176.00,61.00,11.00,0.00,10.00,400.00,32.00,Low,0,0
BSL CALYPSO,9191448,314590000,Cargo,Bulk Carrier,154.00,15137.00,24.00,149.00,73.00,116.00,27.00,25.00,11.00,159.00,32.00,Low,0,0
DEEB BREEZE,9191577,312197000,Cargo,Bulk Carrier,113.00,6079.00,24.00,77.00,140.00,89.00,59.00,34.00,27.00,125.00,20.00,Low,0,0
ADAM JUNIOR,9194464,373092000,Cargo,Bulk Carrier,134.00,8492.00,24.00,47.00,205.00,37.00,76.00,6.00,16.00,309.00,12.00,High,1,0
RIZABEY,9197117,352001807,Cargo,Bulk Carrier,160.00,15609.00,24.00,117.00,95.00,82.00,71.00,0.00,25.00,85.00,28.00,High,1,0
LADY SPERANZA,9200574,630001013,Cargo,Bulk Carrier,141.00,9994.00,23.00,109.00,179.00,59.00,18.00,2.00,30.00,138.00,28.00,Low,0,0
OPTIMA,9210244,305162000,Cargo,Bulk Carrier,108.00,6204.00,23.00,160.00,153.00,47.00,5.00,0.00,34.00,107.00,34.00,Low,0,0
AILEEN,9214252,511234000,Cargo,Bulk Carrier,148.00,11194.00,23.00,81.00,93.00,183.00,8.00,0.00,37.00,60.00,18.00,Low,0,0
EYLEM,9223643,352102000,Cargo,Bulk Carrier,137.00,9978.00,23.00,177.00,110.00,78.00,0.00,0.00,37.00,71.00,45.00,Low,0,0
CECELA S,9227857,371202000,Cargo,Bulk Carrier,148.00,11194.00,23.00,143.00,128.00,84.00,10.00,5.00,36.00,85.00,41.00,Low,0,0
LADY AYSE,9227871,373042000,Cargo,Bulk Carrier,137.00,9978.00,22.00,125.00,125.00,115.00,0.00,0.00,32.00,91.00,33.00,Low,0,0
FANARIA,9228241,356187000,Cargo,Bulk Carrier,149.00,11395.00,23.00,144.00,126.00,92.00,3.00,1.00,21.00,144.00,33.00,Low,0,0
REK NOBLE,9229879,351820000,Cargo,Bulk Carrier,155.00,12578.00,21.00,74.00,36.00,13.00,242.00,0.00,6.00,146.00,7.00,Low,0,0
LADY SEMA,9233624,371043000,Cargo,Bulk Carrier,137.00,9978.00,22.00,159.00,115.00,90.00,1.00,0.00,29.00,94.00,42.00,High,1,0
ADNAN TORLAK,9243253,636019529,Cargo,Bulk Carrier,138.00,11403.00,22.00,174.00,109.00,71.00,11.00,0.00,29.00,90.00,40.00,Moderate,1,0
A LINE,9246920,577498000,Cargo,Bulk Carrier,115.00,7265.00,22.00,100.00,103.00,159.00,3.00,0.00,25.00,99.00,26.00,Moderate,1,0
MOHAC,9251042,636020510,Cargo,Bulk Carrier,135.00,9104.00,22.00,113.00,129.00,109.00,14.00,0.00,24.00,129.00,29.00,Low,0,0
NIMET TORLAK,9282948,636021041,Cargo,Bulk Carrier,138.00,11349.00,20.00,124.00,123.00,112.00,6.00,0.00,31.00,95.00,32.00,Low,0,0
GANNET S,9316995,636018923,Cargo,Bulk Carrier,135.00,9865.00,16.00,64.00,85.00,215.00,1.00,0.00,21.00,96.00,13.00,Moderate,1,0
AURORA ONE,9343819,538005792,Cargo,Bulk Carrier,115.00,7341.00,16.00,140.00,146.00,79.00,0.00,0.00,22.00,160.00,28.00,Low,0,0
COE LAURA,9343821,304031000,Cargo,Bulk Carrier,115.00,7341.00,15.00,158.00,105.00,95.00,7.00,0.00,44.00,56.00,40.00,Low,0,0
MAXIMUS-1,9344734,371564000,Cargo,Bulk Carrier,128.00,6177.00,19.00,85.00,132.00,138.00,10.00,1.00,22.00,144.00,14.00,Low,0,0
LADY DIVINA,9354052,314672000,Cargo,Bulk Carrier,140.00,11697.00,16.00,151.00,132.00,78.00,4.00,0.00,29.00,109.00,42.00,Moderate,1,0
PETREL S,9363883,636019558,Cargo,Bulk Carrier,140.00,11674.00,17.00,170.00,124.00,65.00,6.00,0.00,30.00,99.00,43.00,Low,0,0
ALEXIA I,9365049,538009439,Cargo,Bulk Carrier,133.00,6945.00,18.00,160.00,116.00,72.00,17.00,0.00,16.00,94.00,31.00,Low,0,0
FINIKIA,9385233,468395000,Cargo,Bulk Carrier,140.00,11767.00,14.00,51.00,60.00,40.00,214.00,110.00,15.00,96.00,12.00,High,1,0
ADAROSE,9392107,636019247,Cargo,Bulk Carrier,115.00,7404.00,14.00,145.00,170.00,34.00,16.00,0.00,41.00,99.00,34.00,Low,0,0
HATICE C,9396555,372658000,Cargo,Bulk Carrier,148.00,10122.00,16.00,157.00,134.00,72.00,2.00,0.00,27.00,119.00,32.00,Low,0,0
SMARTA,9396567,636019056,Cargo,Bulk Carrier,148.00,10130.00,16.00,39.00,26.00,17.00,283.00,166.00,7.00,90.00,10.00,Low,0,0
SUPRA,9397200,636019547,Cargo,Bulk Carrier,151.00,10299.00,17.00,141.00,134.00,89.00,1.00,0.00,32.00,99.00,33.00,High,1,0
THOE,9400588,538008688,Cargo,Bulk Carrier,136.00,7959.00,17.00,59.00,106.00,45.00,155.00,0.00,27.00,94.00,14.00,Low,0,0
LADY HATICE,9413078,356300000,Cargo,Bulk Carrier,140.00,11767.00,14.00,157.00,145.00,63.00,0.00,0.00,32.00,108.00,38.00,Low,0,0
SELECTA,9424807,636018116,Cargo,Bulk Carrier,146.00,9294.00,16.00,150.00,157.00,57.00,1.00,0.00,30.00,117.00,37.00,Low,0,0
BOLTEN SYMI,9427380,538008709,Cargo,Bulk Carrier,157.00,15861.00,14.00,212.00,117.00,35.00,1.00,0.00,106.00,27.00,49.00,Low,0,0
MALLARD S,9427392,636020193,Cargo,Bulk Carrier,157.00,15861.00,13.00,38.00,32.00,294.00,1.00,0.00,13.00,59.00,10.00,Low,0,0
LUCKY TRADER,9427574,314586000,Cargo,Bulk Carrier,157.00,15861.00,12.00,171.00,108.00,85.00,1.00,0.00,26.00,99.00,44.00,Low,0,0
FEDOR,9431977,273294380,Cargo,Bulk Carrier,134.00,6699.00,16.00,71.00,37.00,65.00,192.00,143.00,11.00,80.00,13.00,Low,0,0
SENATA,9451575,636013823,Cargo,Bulk Carrier,141.00,8289.00,15.00,203.00,90.00,72.00,0.00,0.00,30.00,72.00,41.00,High,1,0
MATRIX,9454125,352980836,Cargo,Bulk Carrier,113.00,5087.00,16.00,65.00,85.00,171.00,44.00,0.00,34.00,60.00,11.00,Moderate,1,0
LODESTAR,9470143,636020779,Cargo,Bulk Carrier,151.00,10784.00,15.00,118.00,148.00,96.00,3.00,0.00,50.00,70.00,29.00,Low,0,0
MEDIQUEEN,9476410,636020849,Cargo,Bulk Carrier,151.00,10784.00,15.00,140.00,136.00,84.00,5.00,1.00,38.00,86.00,31.00,Low,0,0
PRIDE,9480277,636021704,Cargo,Bulk Carrier,152.00,10784.00,15.00,109.00,153.00,93.00,10.00,2.00,45.00,82.00,26.00,Low,0,0
NAVIN EAGLE,9485186,538007990,Cargo,Bulk Carrier,113.00,5087.00,15.00,160.00,133.00,51.00,21.00,2.00,33.00,97.00,34.00,Low,0,0
BC RAEDA,9487598,314572000,Cargo,Bulk Carrier,158.00,15302.00,12.00,128.00,134.00,100.00,3.00,0.00,19.00,168.00,35.00,Low,0,0
STEVIE,9488035,636093123,Cargo,Bulk Carrier,139.00,9627.00,13.00,251.00,76.00,35.00,3.00,0.00,35.00,52.00,76.00,High,1,0
NAVIN FALCON,9492933,538007986,Cargo,Bulk Carrier,113.00,5087.00,15.00,120.00,124.00,120.00,1.00,0.00,25.00,119.00,26.00,Low,0,0
SACURA,9497000,636020540,Cargo,Bulk Carrier,139.00,8890.00,12.00,104.00,79.00,26.00,156.00,0.00,25.00,76.00,22.00,Low,0,0
BEHCET C,9503744,357250000,Cargo,Bulk Carrier,160.00,13675.00,14.00,120.00,91.00,146.00,8.00,1.00,21.00,104.00,25.00,Low,0,0
NAVIN HARRIER,9506409,538007989,Cargo,Bulk Carrier,113.00,5087.00,15.00,128.00,103.00,131.00,3.00,1.00,39.00,63.00,29.00,Low,0,0
ATA,9521899,370429000,Cargo,Bulk Carrier,150.00,10830.00,14.00,138.00,107.00,120.00,0.00,0.00,20.00,129.00,29.00,Low,0,0
NAVIN HAWK,9522738,538007987,Cargo,Bulk Carrier,113.00,5087.00,14.00,128.00,103.00,131.00,3.00,1.00,39.00,63.00,29.00,Low,0,0
ADAVEGA,9539339,636019710,Cargo,Bulk Carrier,115.00,7404.00,13.00,192.00,113.00,60.00,0.00,0.00,39.00,69.00,46.00,High,1,0
CANGA STAR,9540039,577556000,Cargo,Bulk Carrier,127.00,6756.00,12.00,132.00,73.00,75.00,85.00,3.00,27.00,65.00,28.00,Low,0,0
NAVIN VULTURE,9543328,538007988,Cargo,Bulk Carrier,113.00,5087.00,14.00,75.00,85.00,160.00,45.00,1.00,30.00,68.00,18.00,Low,0,0
AFINA I,9585015,248300000,Cargo,Bulk Carrier,139.00,8887.00,13.00,116.00,135.00,80.00,34.00,0.00,32.00,102.00,28.00,Low,0,0
MBC DAISY,9609902,256259000,Cargo,Bulk Carrier,146.00,10154.00,12.00,158.00,111.00,89.00,7.00,1.00,28.00,95.00,35.00,Low,0,0
STELLAR BALTIC,9614347,305610000,Cargo,Bulk Carrier,150.00,12825.00,11.00,161.00,156.00,48.00,0.00,0.00,28.00,134.00,42.00,Low,0,0
TRANSOCEAN,9644251,636020467,Cargo,Bulk Carrier,160.00,15732.00,11.00,172.00,130.00,48.00,15.00,1.00,19.00,162.00,42.00,Low,0,0
EEMSLIFT DAFNE,9671448,244810443,Cargo,Bulk Carrier,112.00,5460.00,9.00,247.00,91.00,22.00,5.00,5.00,132.00,17.00,80.00,Low,0,0
EEMSLIFT DAFNE,9671448,244810443,Cargo,Bulk Carrier,112.00,5460.00,9.00,235.00,78.00,49.00,3.00,0.00,42.00,44.00,73.00,Low,0,0
EEMSLIFT HENDRIKA,9671486,244790047,Cargo,Bulk Carrier,112.00,5460.00,8.00,235.00,78.00,49.00,3.00,0.00,42.00,44.00,73.00,Low,0,0
PROFESSOR B,8401523,620040000,Cargo,Container Vessel,152.00,10733.00,39.00,75.00,178.00,109.00,3.00,0.00,19.00,225.00,16.00,Low,0,0
ANNABELLA,8919788,620743000,Cargo,Container Vessel,123.00,7398.00,32.00,88.00,115.00,130.00,32.00,29.00,32.00,87.00,19.00,Low,0,0
MSC JENNY II,9000742,255805777,Cargo,Container Vessel,200.00,28397.00,29.00,117.00,199.00,49.00,0.00,0.00,84.00,57.00,31.00,Low,0,0
MSC TASMANIA,9008574,355129000,Cargo,Container Vessel,216.00,34231.00,30.00,131.00,157.00,77.00,0.00,0.00,87.00,43.00,34.00,Low,0,0
MSC AMERICA,9008603,355028000,Cargo,Container Vessel,216.00,34231.00,30.00,159.00,127.00,77.00,2.00,0.00,106.00,29.00,43.00,Low,0,0
MARTINE A,9020340,271041000,Cargo,Container Vessel,149.00,10546.00,30.00,169.00,132.00,41.00,23.00,17.00,77.00,41.00,41.00,Low,0,0
INGA A,9020352,271042494,Cargo,Container Vessel,149.00,10546.00,30.00,172.00,144.00,47.00,2.00,1.00,85.00,41.00,43.00,Low,0,0
MSC JEMIMA,9051478,352138000,Cargo,Container Vessel,202.00,30971.00,30.00,179.00,136.00,41.00,9.00,0.00,116.00,28.00,50.00,Low,0,0
MSC NILGUN,9051492,357191000,Cargo,Container Vessel,202.00,30971.00,29.00,203.00,124.00,38.00,0.00,0.00,117.00,25.00,48.00,Low,0,0
CHRISTINA 1,9061253,352898693,Cargo,Container Vessel,100.00,3992.00,30.00,58.00,182.00,123.00,2.00,0.00,30.00,132.00,13.00,Low,0,0
SCORPION 1,9061277,352898674,Cargo,Container Vessel,101.00,3992.00,30.00,74.00,182.00,90.00,19.00,1.00,42.00,104.00,17.00,Low,0,0
MSC LARA,9064748,355746000,Cargo,Container Vessel,203.00,28892.00,29.00,124.00,110.00,85.00,46.00,0.00,92.00,29.00,34.00,Low,0,0
MSC ELEONORA,9064750,356167000,Cargo,Container Vessel,203.00,28892.00,29.00,149.00,129.00,84.00,3.00,0.00,104.00,30.00,42.00,Low,0,0
MSC NITA,9084607,636018389,Cargo,Container Vessel,167.00,15859.00,27.00,168.00,135.00,50.00,12.00,5.00,109.00,30.00,45.00,Low,0,0
KORMORAN,9100061,671274100,Cargo,Container Vessel,108.00,3957.00,29.00,67.00,131.00,113.00,54.00,17.00,18.00,175.00,13.00,Low,0,0
MSC SENA,9116369,636017582,Cargo,Container Vessel,202.00,30280.00,27.00,199.00,136.00,19.00,11.00,0.00,84.00,39.00,61.00,Low,0,0
ADMIRAL DANIAL,9122227,511100380,Cargo,Container Vessel,101.00,3999.00,28.00,143.00,115.00,72.00,35.00,32.00,42.00,66.00,32.00,Low,0,0
A2B PROUD,9122239,245502000,Cargo,Container Vessel,101.00,3999.00,28.00,83.00,210.00,51.00,21.00,0.00,86.00,58.00,23.00,Low,0,0
ROZA A,9126742,271001057,Cargo,Container Vessel,169.00,15120.00,27.00,153.00,167.00,42.00,3.00,0.00,219.00,18.00,40.00,Low,0,0
TOMRIZ A,9126754,271001058,Cargo,Container Vessel,169.00,15120.00,26.00,121.00,163.00,69.00,12.00,0.00,154.00,25.00,36.00,Low,0,0
CORELLI,9126766,256648000,Cargo,Container Vessel,169.00,15120.00,26.00,165.00,119.00,75.00,6.00,2.00,104.00,27.00,43.00,Low,0,0
SARA STAR,9129471,370288000,Cargo,Container Vessel,101.00,3999.00,27.00,73.00,230.00,62.00,0.00,0.00,30.00,182.00,14.00,Low,0,0
UNI ASPIRE,9130573,353695000,Cargo,Container Vessel,165.00,14807.00,25.00,152.00,117.00,94.00,2.00,0.00,125.00,22.00,51.00,Low,0,0
UNI-ASSURE,9130597,357398000,Cargo,Container Vessel,165.00,14807.00,24.00,116.00,143.00,106.00,0.00,0.00,122.00,28.00,36.00,Low,0,0
DNIPRO LINE,9136371,272771000,Cargo,Container Vessel,110.00,2077.00,25.00,64.00,150.00,145.00,6.00,0.00,35.00,103.00,12.00,Low,0,0
NALI,9141340,357505000,Cargo,Container Vessel,110.00,2077.00,25.00,84.00,139.00,122.00,20.00,0.00,49.00,68.00,12.00,Low,0,0
MED AYDIN,9148025,271048694,Cargo,Container Vessel,196.00,29022.00,26.00,124.00,167.00,62.00,12.00,0.00,97.00,41.00,29.00,Low,0,0
WEC BOUMEESTER,9150080,255802680,Cargo,Container Vessel,132.00,5941.00,26.00,87.00,219.00,55.00,4.00,1.00,74.00,71.00,22.00,Low,0,0
MSC LEA,9162643,636018325,Cargo,Container Vessel,217.00,24836.00,23.00,194.00,93.00,78.00,0.00,0.00,98.00,23.00,52.00,Low,0,0
ALEXANDER MAERSK,9164237,219470000,Cargo,Container Vessel,155.00,14120.00,25.00,227.00,90.00,44.00,4.00,2.00,108.00,20.00,57.00,Low,0,0
MSC EDITH,9169029,636018324,Cargo,Container Vessel,216.00,25219.00,25.00,173.00,117.00,71.00,4.00,0.00,112.00,25.00,48.00,Low,0,0
MSC MARYLENA,9169031,255805947,Cargo,Container Vessel,216.00,25219.00,25.00,188.00,112.00,64.00,1.00,0.00,98.00,27.00,54.00,Low,0,0
MSC CAITLIN,9169043,636018323,Cargo,Container Vessel,216.00,25219.00,25.00,240.00,97.00,23.00,5.00,0.00,146.00,16.00,79.00,Low,0,0
MSC MIA SUMMER,9169067,636018326,Cargo,Container Vessel,216.00,25219.00,24.00,203.00,120.00,39.00,3.00,0.00,130.00,22.00,60.00,Low,0,0
MAERSK ANTWERP,9175781,477958500,Cargo,Container Vessel,155.00,14063.00,24.00,129.00,136.00,99.00,1.00,0.00,79.00,41.00,32.00,Low,0,0
MSC MASHA 3,9188219,255806109,Cargo,Container Vessel,184.00,21583.00,25.00,191.00,130.00,43.00,1.00,0.00,109.00,29.00,50.00,Low,0,0
NELE MAERSK,9192442,477648100,Cargo,Container Vessel,199.00,27773.00,23.00,223.00,86.00,44.00,12.00,0.00,85.00,24.00,62.00,Low,0,0
DUYGU,9199787,577165000,Cargo,Container Vessel,111.00,4388.00,23.00,160.00,115.00,87.00,3.00,0.00,35.00,78.00,35.00,Low,0,0
BMI EAGLE,9200093,271000578,Cargo,Container Vessel,114.00,4631.00,24.00,180.00,89.00,84.00,12.00,3.00,85.00,25.00,46.00,Low,0,0
UNI PHOENIX,9202170,357962000,Cargo,Container Vessel,182.00,17887.00,23.00,144.00,126.00,77.00,18.00,2.00,96.00,31.00,46.00,Low,0,0
