Vessels Name,IMO,MMSI,Class,Subclass,Length,Gross Tonnage,Age,Sailing,In Port,Waiting,Signal Lost,Dark Activity,Portcalls,Average dur. Portcalls,NM Sailed (k),Risk,Human expertise,NoAnomaly
ADIYAMAN,9305453,271050683,Tanker,Oil or Chemicals Tanker,96.00,2890.00,18.00,160.00,92.00,90.00,23.00,3.00,68.00,32.00,35.00,Low,0,0
SEAVEN PRIDE,9310393,241799000,Tanker,Oil or Chemicals Tanker,105.00,4077.00,18.00,195.00,103.00,67.00,0.00,0.00,103.00,244.00,31.00,Low,0,0
FOYLE,9317676,215584000,Tanker,Oil or Chemicals Tanker,100.00,3171.00,18.00,168.00,100.00,85.00,12.00,2.00,93.00,26.00,41.00,Low,0,0
YM EARTH,9322633,215937000,Tanker,Oil or Chemicals Tanker,106.00,4022.00,18.00,208.00,82.00,62.00,13.00,0.00,70.00,28.00,52.00,Low,0,0
ELIANA,9327310,215630000,Tanker,Oil or Chemicals Tanker,106.00,3934.00,17.00,122.00,122.00,112.00,9.00,0.00,39.00,75.00,23.00,Low,0,0
LARA S,9334301,249689000,Tanker,Oil or Chemicals Tanker,109.00,3981.00,16.00,120.00,129.00,112.00,4.00,1.00,39.00,80.00,26.00,Low,0,0
CARIBE MARIA,9337286,636017331,Tanker,Oil or Chemicals Tanker,116.00,7687.00,16.00,156.00,144.00,61.00,4.00,0.00,62.00,55.00,42.00,Low,0,0
PLEVNE,9340908,215994000,Tanker,Oil or Chemicals Tanker,116.00,7687.00,16.00,78.00,97.00,89.00,101.00,3.00,23.00,101.00,20.00,Low,0,0
USICHEM,9344344,215993000,Tanker,Oil or Chemicals Tanker,119.00,4798.00,18.00,169.00,91.00,104.00,1.00,0.00,46.00,48.00,47.00,Low,0,0
ST SARA,9356646,256177000,Tanker,Oil or Chemicals Tanker,121.00,5271.00,16.00,103.00,97.00,126.00,39.00,0.00,42.00,55.00,23.00,Low,0,0
SCOT FLENSBURG,9365269,538009892,Tanker,Oil or Chemicals Tanker,117.00,5200.00,15.00,175.00,92.00,45.00,53.00,15.00,43.00,51.00,57.00,Low,0,0
BOMAR CERES,9367231,256815000,Tanker,Oil or Chemicals Tanker,107.00,3997.00,16.00,208.00,94.00,62.00,1.00,1.00,69.00,33.00,46.00,High,1,0
BOYNE,9369928,256247000,Tanker,Oil or Chemicals Tanker,106.00,3974.00,16.00,139.00,137.00,88.00,1.00,0.00,68.00,48.00,33.00,Low,0,0
BOMAR VENUS,9374014,215135000,Tanker,Oil or Chemicals Tanker,107.00,3988.00,17.00,147.00,161.00,54.00,3.00,0.00,40.00,97.00,35.00,Low,0,0
BOMAR MARS,9377030,256784000,Tanker,Oil or Chemicals Tanker,107.00,3999.00,16.00,206.00,94.00,65.00,0.00,0.00,75.00,30.00,49.00,Low,0,0
JABRAYIL DOVLATZADEH,9383613,636021705,Tanker,Oil or Chemicals Tanker,93.00,2603.00,15.00,196.00,97.00,71.00,1.00,0.00,68.00,34.00,45.00,Low,0,0
BOMAR SEDNA,9383651,256996000,Tanker,Oil or Chemicals Tanker,101.00,5713.00,15.00,142.00,79.00,134.00,10.00,8.00,58.00,29.00,34.00,Low,0,0
DERG,9393060,249293000,Tanker,Oil or Chemicals Tanker,117.00,6764.00,15.00,146.00,101.00,98.00,20.00,3.00,56.00,41.00,33.00,Low,0,0
ALSIA SWAN,9400356,248359000,Tanker,Oil or Chemicals Tanker,106.00,4001.00,14.00,169.00,111.00,84.00,1.00,1.00,51.00,52.00,42.00,Low,0,0
ANHOUT SWAN,9401300,219473000,Tanker,Oil or Chemicals Tanker,120.00,4752.00,14.00,174.00,138.00,47.00,6.00,0.00,53.00,62.00,46.00,Low,0,0
M/T ZUGA,9405784,229171000,Tanker,Oil or Chemicals Tanker,100.00,5031.00,15.00,179.00,87.00,99.00,0.00,1.00,66.00,31.00,41.00,Low,0,0
SEAVEN VOYAGER,9405796,241575000,Tanker,Oil or Chemicals Tanker,100.00,5031.00,15.00,184.00,97.00,81.00,3.00,2.00,80.00,29.00,37.00,Low,0,0
FILYOZ,9407213,215090000,Tanker,Oil or Chemicals Tanker,105.00,4034.00,13.00,188.00,97.00,78.00,2.00,0.00,78.00,30.00,39.00,Low,0,0
HITRA,9413652,249421000,Tanker,Oil or Chemicals Tanker,108.00,3997.00,14.00,187.00,106.00,71.00,1.00,0.00,107.00,24.00,48.00,Low,0,0
MRC SEMIRAMIS,9418793,249028000,Tanker,Oil or Chemicals Tanker,107.00,3999.00,15.00,145.00,99.00,118.00,3.00,1.00,47.00,51.00,34.00,Low,0,0
ADA,9420693,538003122,Tanker,Oil or Chemicals Tanker,106.00,4021.00,15.00,146.00,90.00,108.00,21.00,9.00,60.00,36.00,39.00,Low,0,0
GLOBAL LAKE,9427469,271049800,Tanker,Oil or Chemicals Tanker,112.00,4030.00,6.00,177.00,101.00,72.00,15.00,3.00,79.00,31.00,39.00,Low,0,0
GOGLAND,9430210,511100842,Tanker,Oil or Chemicals Tanker,92.00,3470.00,12.00,83.00,132.00,115.00,35.00,1.00,22.00,144.00,16.00,Low,0,0
EMEK S,9433561,249475000,Tanker,Oil or Chemicals Tanker,120.00,4816.00,15.00,191.00,94.00,72.00,8.00,0.00,57.00,40.00,48.00,Low,0,0
LEON,9435844,249733000,Tanker,Oil or Chemicals Tanker,95.00,2997.00,16.00,105.00,107.00,119.00,34.00,4.00,85.00,30.00,15.00,Low,0,0
GURONI,9438248,248475000,Tanker,Oil or Chemicals Tanker,118.00,6190.00,13.00,218.00,71.00,68.00,8.00,7.00,41.00,42.00,51.00,Moderate,1,0
MRC EMIRHAN,9444936,249567000,Tanker,Oil or Chemicals Tanker,107.00,3999.00,15.00,176.00,82.00,97.00,10.00,0.00,58.00,34.00,44.00,Low,0,0
FT NERVI,9447299,215481000,Tanker,Oil or Chemicals Tanker,120.00,5110.00,14.00,141.00,114.00,110.00,0.00,0.00,49.00,56.00,33.00,Low,0,0
PORTOLA,9449443,538003828,Tanker,Oil or Chemicals Tanker,120.00,8278.00,13.00,177.00,96.00,92.00,0.00,0.00,63.00,36.00,43.00,Low,0,0
DELTA SEA,9452268,215013000,Tanker,Oil or Chemicals Tanker,100.00,5031.00,13.00,161.00,90.00,114.00,0.00,0.00,89.00,24.00,36.00,Low,0,0
YM URANUS,9452763,249462000,Tanker,Oil or Chemicals Tanker,120.00,4829.00,15.00,215.00,96.00,52.00,2.00,0.00,68.00,34.00,55.00,Low,0,0
YM MERCURY,9452775,248507000,Tanker,Oil or Chemicals Tanker,109.00,4242.00,13.00,170.00,105.00,80.00,10.00,0.00,76.00,33.00,44.00,Low,0,0
YM NEPTUNE,9464106,249813000,Tanker,Oil or Chemicals Tanker,120.00,4829.00,14.00,198.00,113.00,52.00,2.00,0.00,64.00,42.00,49.00,Low,0,0
YM PLUTO,9464118,249957000,Tanker,Oil or Chemicals Tanker,120.00,4829.00,14.00,212.00,97.00,56.00,0.00,0.00,71.00,33.00,51.00,Low,0,0
SEAVEN HOPE,9466946,241750000,Tanker,Oil or Chemicals Tanker,106.00,3576.00,13.00,147.00,121.00,92.00,5.00,5.00,168.00,17.00,32.00,Low,0,0
CIMIL,9487378,215909000,Tanker,Oil or Chemicals Tanker,100.00,3308.00,13.00,170.00,98.00,95.00,2.00,2.00,87.00,27.00,37.00,Low,0,0
MT ALAND,9487380,249581000,Tanker,Oil or Chemicals Tanker,100.00,3308.00,10.00,178.00,97.00,86.00,4.00,0.00,77.00,30.00,34.00,Low,0,0
CANSU Y,9502673,538010346,Tanker,Oil or Chemicals Tanker,93.00,2607.00,14.00,183.00,101.00,81.00,0.00,0.00,50.00,49.00,37.00,Low,0,0
ATLANTIS ANDAMAN,9508079,249701000,Tanker,Oil or Chemicals Tanker,109.00,4263.00,14.00,154.00,83.00,123.00,5.00,4.00,56.00,36.00,38.00,Low,0,0
ATLANTIS ALMERIA,9508093,248483000,Tanker,Oil or Chemicals Tanker,109.00,4263.00,13.00,116.00,88.00,153.00,8.00,2.00,48.00,44.00,30.00,Low,0,0
MONJASA SHAKER,9510591,636020734,Tanker,Oil or Chemicals Tanker,118.00,6153.00,14.00,141.00,89.00,86.00,49.00,44.00,63.00,34.00,32.00,Low,0,0
ATA OCEAN,9519614,229795000,Tanker,Oil or Chemicals Tanker,119.00,4765.00,13.00,154.00,115.00,94.00,2.00,0.00,96.00,29.00,37.00,Moderate,1,0
UMAR 1,9521411,248751000,Tanker,Oil or Chemicals Tanker,97.00,3280.00,13.00,149.00,99.00,108.00,9.00,1.00,71.00,33.00,35.00,Low,0,0
GAZELA,9525572,212878000,Tanker,Oil or Chemicals Tanker,109.00,4242.00,13.00,188.00,123.00,52.00,2.00,2.00,57.00,52.00,42.00,Low,0,0
MRC HATICE ANA,9536935,215345000,Tanker,Oil or Chemicals Tanker,107.00,3999.00,13.00,142.00,86.00,122.00,15.00,13.00,54.00,38.00,33.00,Low,0,0
ATHLOS,9539858,248011000,Tanker,Oil or Chemicals Tanker,110.00,4908.00,13.00,176.00,101.00,87.00,1.00,0.00,80.00,30.00,43.00,Low,0,0
EMIN REIS,9547570,271040601,Tanker,Oil or Chemicals Tanker,100.00,4165.00,13.00,207.00,95.00,59.00,4.00,0.00,72.00,32.00,48.00,Low,0,0
YM MARS,9551806,215234000,Tanker,Oil or Chemicals Tanker,109.00,4242.00,12.00,170.00,105.00,87.00,3.00,0.00,58.00,44.00,44.00,Low,0,0
FRONA,9585481,374020000,Tanker,Oil or Chemicals Tanker,118.00,6200.00,6.00,157.00,90.00,93.00,25.00,12.00,48.00,45.00,37.00,Low,0,0
MILLENNIAL SPIRIT,7392610,214182773,Tanker,Oil Products Tanker,77.00,1665.00,49.00,24.00,0.00,62.00,279.00,0.00,0.00,0.00,2.00,Low,0,0
ASTERDEA,7421863,677044500,Tanker,Oil Products Tanker,81.00,1794.00,47.00,32.00,80.00,240.00,13.00,10.00,4.00,480.00,3.00,High,1,0
BRENTIX,7922221,677077500,Tanker,Oil Products Tanker,80.00,1975.00,43.00,14.00,73.00,8.00,270.00,3.00,4.00,435.00,3.00,Low,0,0
AVALON M,8013120,613116900,Tanker,Oil Products Tanker,81.00,1941.00,42.00,72.00,11.00,251.00,31.00,2.00,9.00,31.00,11.00,Moderate,1,0
UNICOM 3,8317447,264900073,Tanker,Oil Products Tanker,70.00,999.00,39.00,1.00,353.00,0.00,11.00,0.00,9.00,659.00,0.50,Low,0,0
NERMIN TELLI,8317992,271002456,Tanker,Oil Products Tanker,92.00,2699.00,39.00,136.00,120.00,98.00,11.00,0.00,80.00,25.00,30.00,Low,0,0
DESNA,8331510,272972000,Tanker,Oil Products Tanker,78.00,1902.00,38.00,25.00,93.00,8.00,239.00,0.00,3.00,741.00,0.10,Low,0,0
BARAKAALE-1,8508747,677062000,Tanker,Oil Products Tanker,89.00,1477.00,39.00,133.00,39.00,48.00,145.00,24.00,19.00,49.00,17.00,Low,0,0
NAVIGER-5,8727939,273345600,Tanker,Oil Products Tanker,138.00,4401.00,39.00,122.00,42.00,179.00,22.00,3.00,17.00,60.00,11.00,Low,0,0
KAPITAN PERMYAKOV,8727953,273343600,Tanker,Oil Products Tanker,138.00,4402.00,36.00,120.00,27.00,175.00,43.00,9.00,17.00,38.00,16.00,Low,0,0
NAVIGER-1,8867143,273342100,Tanker,Oil Products Tanker,133.00,4059.00,53.00,136.00,39.00,102.00,88.00,13.00,20.00,47.00,22.00,Low,0,0
TONY,8884476,630001012,Tanker,Oil Products Tanker,123.00,2863.00,38.00,31.00,43.00,114.00,177.00,40.00,3.00,343.00,3.00,High,1,0
ANNA,9118159,620992000,Tanker,Oil Products Tanker,91.00,3368.00,26.00,110.00,24.00,161.00,70.00,69.00,29.00,20.00,16.00,Moderate,1,0
LESLEY CT,9153422,312056000,Tanker,Oil Products Tanker,102.00,3630.00,25.00,57.00,94.00,211.00,3.00,1.00,18.00,124.00,8.00,Low,0,0
LEOPOLD,9173032,636021933,Tanker,Oil Products Tanker,105.00,5281.00,25.00,101.00,154.00,110.00,0.00,0.00,81.00,45.00,24.00,Low,0,0
CHEETAH-II,9222560,355804000,Tanker,Oil Products Tanker,182.00,28534.00,23.00,91.00,94.00,118.00,62.00,48.00,8.00,37.00,15.00,Low,0,0
ELLES PRIDE,9251664,620913000,Tanker,Oil Products Tanker,178.00,21353.00,21.00,71.00,33.00,148.00,113.00,54.00,16.00,50.00,16.00,High,1,0
VS REMLIN,9252307,232026709,Tanker,Oil Products Tanker,171.00,22184.00,20.00,188.00,58.00,116.00,3.00,0.00,28.00,47.00,45.00,Low,0,0
BENTLEY I,9253129,373259000,Tanker,Oil Products Tanker,176.00,25382.00,19.00,144.00,74.00,121.00,26.00,0.00,38.00,47.00,37.00,Low,0,0
SEA MARINE 1,9255830,574322000,Tanker,Oil Products Tanker,180.00,25561.00,20.00,101.00,95.00,132.00,37.00,0.00,15.00,152.00,17.00,Low,0,0
NOSTOS,9258014,636019667,Tanker,Oil Products Tanker,182.00,28529.00,20.00,181.00,25.00,157.00,2.00,2.00,15.00,40.00,37.00,Low,0,0
SOYIA,9263916,636022477,Tanker,Oil Products Tanker,182.00,28517.00,19.00,203.00,85.00,65.00,12.00,0.00,31.00,66.00,54.00,High,1,0
ANDROPOV,9269348,273450240,Tanker,Oil Products Tanker,126.00,3584.00,19.00,38.00,41.00,185.00,101.00,48.00,15.00,66.00,5.00,Low,0,0
KAPITAN BARMIN,9269350,273423570,Tanker,Oil Products Tanker,135.00,4535.00,21.00,133.00,31.00,171.00,30.00,2.00,18.00,41.00,17.00,Low,0,0
NIZHNIY NOVGOROD,9278959,273442410,Tanker,Oil Products Tanker,141.00,4378.00,21.00,131.00,20.00,104.00,110.00,30.00,11.00,43.00,18.00,Low,0,0
BYRON,9290828,538003816,Tanker,Oil Products Tanker,183.00,23298.00,18.00,168.00,86.00,107.00,4.00,4.00,40.00,51.00,46.00,Low,0,0
KRITI EMERALD,9292577,636018123,Tanker,Oil Products Tanker,189.00,30971.00,18.00,234.00,54.00,70.00,7.00,5.00,31.00,42.00,56.00,Low,0,0
CHRYSOPIGI,9303728,249971000,Tanker,Oil Products Tanker,183.00,24048.00,17.00,147.00,48.00,119.00,51.00,47.00,24.00,48.00,36.00,Moderate,1,0
VS LEIA,9303730,232019341,Tanker,Oil Products Tanker,183.00,24048.00,17.00,160.00,64.00,139.00,2.00,0.00,32.00,48.00,37.00,Low,0,0
SLOMAN THETIS,9306653,305496000,Tanker,Oil Products Tanker,171.00,22184.00,17.00,154.00,69.00,140.00,2.00,0.00,31.00,53.00,39.00,Low,0,0
BEKS EBRU,9308132,538009661,Tanker,Oil Products Tanker,189.00,30965.00,17.00,127.00,99.00,110.00,29.00,4.00,31.00,76.00,35.00,Low,0,0
HELEN M,9308223,370307000,Tanker,Oil Products Tanker,180.00,28245.00,18.00,183.00,37.00,134.00,11.00,10.00,29.00,30.00,50.00,Low,0,0
VS LISBETH,9309978,232005015,Tanker,Oil Products Tanker,183.00,24048.00,17.00,179.00,74.00,84.00,28.00,2.00,38.00,45.00,44.00,Low,0,0
STAR MERLIN,9325609,255802890,Tanker,Oil Products Tanker,186.00,31500.00,16.00,165.00,101.00,94.00,5.00,0.00,18.00,135.00,40.00,Low,0,0
DUMBLEDORE,9325611,311001104,Tanker,Oil Products Tanker,186.00,31433.00,16.00,161.00,83.00,114.00,7.00,0.00,30.00,64.00,46.00,Low,0,0
SEABREEZE,9343986,229145000,Tanker,Oil Products Tanker,186.00,31433.00,16.00,175.00,76.00,114.00,0.00,0.00,25.00,73.00,43.00,Moderate,1,0
SEAEXPRESS,9344019,229353000,Tanker,Oil Products Tanker,180.00,28069.00,16.00,146.00,75.00,76.00,68.00,24.00,31.00,58.00,37.00,Low,0,0
BEKS FENIX,9356751,538009848,Tanker,Oil Products Tanker,189.00,30965.00,16.00,165.00,73.00,118.00,9.00,1.00,29.00,60.00,40.00,Low,0,0
MINERVA JOY,9363479,229446000,Tanker,Oil Products Tanker,180.00,28056.00,15.00,183.00,44.00,109.00,29.00,27.00,23.00,46.00,47.00,Low,0,0
MINERVA EMILY,9380063,229084000,Tanker,Oil Products Tanker,182.00,26900.00,14.00,188.00,63.00,107.00,7.00,5.00,20.00,76.00,43.00,Low,0,0
SEAMUSE,9382700,538006566,Tanker,Oil Products Tanker,180.00,28799.00,16.00,200.00,87.00,70.00,8.00,0.00,21.00,98.00,57.00,Low,0,0
KRITI ROCK,9392315,636019277,Tanker,Oil Products Tanker,180.00,28085.00,15.00,172.00,101.00,84.00,8.00,6.00,30.00,81.00,41.00,Low,0,0
AGVANIS,9435325,357642000,Tanker,Oil Products Tanker,150.00,7833.00,16.00,154.00,88.00,113.00,10.00,9.00,37.00,57.00,30.00,Low,0,0
BLACKSEA EAGLE,9495832,370805000,Tanker,Oil Products Tanker,118.00,5036.00,15.00,82.00,96.00,136.00,51.00,7.00,50.00,46.00,23.00,Low,0,0
TITAN,9517070,273344330,Tanker,Oil Products Tanker,141.00,4378.00,14.00,70.00,22.00,172.00,101.00,7.00,20.00,27.00,15.00,Low,0,0
FTM 22,9598359,538010213,Tanker,Oil Products Tanker,141.00,4376.00,12.00,115.00,16.00,201.00,33.00,1.00,13.00,30.00,17.00,High,1,0
FTM21,9598361,538010208,Tanker,Oil Products Tanker,141.00,4376.00,12.00,130.00,16.00,178.00,41.00,2.00,17.00,23.00,19.00,High,1,0
FTM 24,9598373,538010215,Tanker,Oil Products Tanker,141.00,4376.00,12.00,99.00,22.00,165.00,79.00,2.00,28.00,19.00,17.00,High,1,0
FTM 23,9598385,538010214,Tanker,Oil Products Tanker,141.00,4376.00,12.00,121.00,31.00,182.00,31.00,4.00,20.00,37.00,16.00,High,1,0
SVL PRIDE,9599341,273324070,Tanker,Oil Products Tanker,142.00,4793.00,13.00,136.00,78.00,113.00,38.00,0.00,63.00,30.00,32.00,Low,0,0
RN TUAPSE,9599353,273329070,Tanker,Oil Products Tanker,141.00,4792.00,12.00,112.00,40.00,202.00,11.00,0.00,35.00,28.00,13.00,Low,0,0
ALEKSANDR SHEMAGIN,9612909,273352260,Tanker,Oil Products Tanker,140.00,4531.00,11.00,77.00,45.00,167.00,76.00,9.00,24.00,45.00,13.00,Low,0,0
YULIY MAKARENKOV,9612923,273351260,Tanker,Oil Products Tanker,140.00,4541.00,10.00,96.00,19.00,162.00,88.00,3.00,15.00,31.00,11.00,Low,0,0
SERGEY TERSKOV,9637961,273387430,Tanker,Oil Products Tanker,140.00,4531.00,7.00,76.00,36.00,196.00,57.00,22.00,19.00,46.00,11.00,Low,0,0
YAKOV GUNIN,9637973,273384070,Tanker,Oil Products Tanker,140.00,4531.00,7.00,76.00,37.00,153.00,99.00,4.00,25.00,35.00,11.00,Low,0,0
VF TANKER-1,9640499,273351450,Tanker,Oil Products Tanker,141.00,5075.00,11.00,82.00,79.00,188.00,16.00,0.00,26.00,59.00,15.00,Low,0,0
VF TANKER-2,9640504,273352450,Tanker,Oil Products Tanker,141.00,5075.00,11.00,150.00,43.00,151.00,21.00,2.00,26.00,39.00,26.00,Low,0,0
VF TANKER-3,9640516,273353450,Tanker,Oil Products Tanker,141.00,5075.00,11.00,139.00,77.00,142.00,7.00,0.00,57.00,27.00,24.00,Low,0,0
VF TANKER-4,9640528,273354450,Tanker,Oil Products Tanker,141.00,5075.00,11.00,100.00,73.00,124.00,68.00,2.00,35.00,50.00,19.00,Low,0,0
VF TANKER-5,9640530,273355450,Tanker,Oil Products Tanker,141.00,5075.00,11.00,132.00,59.00,129.00,45.00,3.00,26.00,52.00,22.00,Low,0,0
VF TANKER-6,9640542,273359560,Tanker,Oil Products Tanker,141.00,5075.00,11.00,102.00,102.00,139.00,22.00,1.00,27.00,86.00,18.00,Low,0,0
VF TANKER-7,9640554,273350660,Tanker,Oil Products Tanker,141.00,5075.00,11.00,141.00,61.00,128.00,35.00,9.00,30.00,49.00,26.00,Low,0,0
VF TANKER-8,9640566,273358860,Tanker,Oil Products Tanker,141.00,5075.00,11.00,101.00,60.00,175.00,29.00,0.00,23.00,63.00,18.00,Low,0,0
VF TANKER-11,9645009,273357860,Tanker,Oil Products Tanker,141.00,5075.00,11.00,122.00,95.00,142.00,6.00,0.00,29.00,79.00,21.00,Low,0,0
VF TANKER-12,9645011,273358170,Tanker,Oil Products Tanker,141.00,5075.00,11.00,105.00,71.00,165.00,24.00,1.00,26.00,66.00,17.00,Low,0,0
VF TANKER-13,9645023,273359170,Tanker,Oil Products Tanker,141.00,5075.00,11.00,99.00,67.00,156.00,43.00,1.00,21.00,72.00,16.00,Low,0,0
VF TANKER-15,9645047,273353180,Tanker,Oil Products Tanker,141.00,5075.00,11.00,136.00,124.00,90.00,15.00,0.00,65.00,46.00,24.00,Low,0,0
VF TANKER-18,9645073,273357390,Tanker,Oil Products Tanker,141.00,5075.00,10.00,129.00,75.00,147.00,14.00,1.00,33.00,54.00,20.00,Low,0,0
VF TANKER-20,9645097,273358390,Tanker,Oil Products Tanker,141.00,5075.00,10.00,160.00,106.00,78.00,21.00,3.00,57.00,44.00,28.00,Low,0,0
VF TANKER-21,9645102,273359390,Tanker,Oil Products Tanker,141.00,5075.00,10.00,107.00,70.00,158.00,30.00,3.00,26.00,65.00,20.00,Low,0,0
VF TANKER-22,9645114,273333670,Tanker,Oil Products Tanker,141.00,5075.00,10.00,138.00,79.00,114.00,34.00,25.00,31.00,59.00,24.00,Low,0,0
LOYALTY,9655468,273333570,Tanker,Oil Products Tanker,141.00,5089.00,10.00,110.00,37.00,121.00,97.00,3.00,31.00,29.00,25.00,Low,0,0
SVL UNITY,9655470,273337080,Tanker,Oil Products Tanker,141.00,5075.00,10.00,141.00,69.00,126.00,29.00,0.00,52.00,32.00,29.00,Low,0,0
DMITRY POKROVSKY,9683726,273332580,Tanker,Oil Products Tanker,141.00,5075.00,9.00,60.00,87.00,151.00,67.00,23.00,24.00,87.00,9.00,Low,0,0
LADY SEVDA,9683738,273342180,Tanker,Oil Products Tanker,141.00,5075.00,9.00,89.00,43.00,169.00,64.00,7.00,16.00,64.00,15.00,High,1,0
LADY LEILA,9683740,273340060,Tanker,Oil Products Tanker,141.00,5378.00,9.00,80.00,19.00,178.00,88.00,15.00,11.00,41.00,8.00,High,1,0
NIKOLAY GAMAYUNOV,9766073,273381530,Tanker,Oil Products Tanker,103.00,4577.00,7.00,91.00,47.00,202.00,25.00,14.00,29.00,39.00,13.00,Low,0,0
NIKOLAY VELIKIY,9766085,273427090,Tanker,Oil Products Tanker,103.00,4568.00,6.00,128.00,48.00,186.00,3.00,0.00,30.00,37.00,22.00,Low,0,0
GANJA,9813565,423457100,Tanker,Oil Products Tanker,140.00,5075.00,7.00,68.00,63.00,153.00,81.00,0.00,34.00,44.00,13.00,Low,0,0
LACHIN,9821469,423488100,Tanker,Oil Products Tanker,141.00,5000.00,5.00,120.00,34.00,201.00,10.00,1.00,24.00,34.00,16.00,Low,0,0
KALBAJAR,9821471,423501100,Tanker,Oil Products Tanker,141.00,5000.00,5.00,122.00,98.00,140.00,5.00,0.00,52.00,45.00,24.00,Low,0,0
PROFESSOR AZIZALIYEV,9823821,423002100,Tanker,Oil Products Tanker,140.00,5090.00,6.00,73.00,177.00,101.00,14.00,0.00,23.00,179.00,11.00,Low,0,0
